"","company_final","Count"
"1","acenonyx",1
"2","additive rocket",1
"3","adp",1
"4","agero, inc.",1
"5","aig",8
"6","airbus",1
"7","allegion",1
"8","amazon",19
"9","anacle systems",1
"10","aon hewitt",1
"11","apex data",1
"12","arizona state",2
"13","arkansas dept.",1
"14","ashima devices",1
"15","assero services",1
"16","assistant carnegie",1
"17","assistant depaul",1
"18","asu",15
"19","at&t",1
"20","atrium medical",1
"21","automation engineer",2
"22","avaya",1
"23","aws cloudfront,",1
"24","axillon group",1
"25","backbonejs, nodejs",1
"26","baker hughes",2
"27","bank of america",9
"28","barclays",3
"29","bcbal responsible",1
"30","bcbs",2
"31","bedrockdata",2
"32","best buy",1
"33","bike shop",1
"34","bloomberg",7
"35","blue shield",3
"36","boa marine",1
"37","bofa",1
"38","brigham young",2
"39","broadcom",2
"40","brocade communications",1
"41","bts",1
"42","bucknell university",1
"43","byu international",1
"44","bz robot",1
"45","cablevision",1
"46","caci provide",1
"47","canoga perkins",1
"48","careday",1
"49","career experienes",1
"50","catalina marketing",2
"51","cavium llc",1
"52","cbs interactive",1
"53","cdi corporation",1
"54","cem",35
"55","center for",6
"56","center research",1
"57","central michigan",3
"58","centurylink communications",1
"59","cerner",2
"60","characterization of lya",1
"61","chevron",1
"62","chicago mercantile",1
"63","chief",3
"64","cigna",4
"65","cim",1
"66","cisco",31
"67","citadel",1
"68","citi",6
"69","citigroup",1
"70","citizen's bank",1
"71","clear capital",1
"72","co-op rockwell",1
"73","cobalt automotive",1
"74","coding dojo",2
"75","columbia university",4
"76","comcast",2
"77","comnet marketing",1
"78","comso inc,",1
"79","conagra foods",1
"80","confidential",3
"81","connectedio",1
"82","consortium-iv",1
"83","constellation energy",1
"84","consulting java",1
"85","contactmydoc description:",1
"86","contata solutions",1
"87","context relevant",1
"88","cornell university",2
"89","costume designer",1
"90","coverity",1
"91","cox media",1
"92","creative aero",1
"93","credit suisse,",1
"94","credorax group",1
"95","crowdnetic corporation",1
"96","csc",4
"97","cugi eboard",1
"98","current job",1
"99","cvs caremark",1
"100","cvs health",1
"101","cypress health",1
"102","daegis inc",1
"103","database security",1
"104","deka reasearch",1
"105","dell",8
"106","deloitte",2
"107","delta air",1
"108","demere.co",1
"109","dental web",1
"110","department of computer",4
"111","department of health",3
"112","deutsche bank",2
"113","devops engineer",5
"114","directv",1
"115","disney",1
"116","djangostars",1
"117","doctor lan",1
"118","dolby laboratories",1
"119","dropbox",1
"120","dsw inc",1
"121","duke energy",1
"122","duke mathematics",1
"123","dupont pioneer",1
"124","dynamic dreamz",1
"125","e-ring software",1
"126","ecoing15",1
"127","ecompany store",1
"128","economic, financial,",1
"129","ecovent",1
"130","edmc",1
"131","educational software",1
"132","edward jones",3
"133","efocus-webs project",1
"134","einstein",3
"135","ejada ltd",1
"136","elekta inc.",1
"137","emagin",1
"138","emc",5
"139","engineer bomgar",1
"140","engineer narra",1
"141","entre computer",1
